,first    name,laSt name,email address,city,DAte,DATETIME,age,credIt_card @#%company,STA@$te      ,$$,salary
1,Tyler,@Brooks, t_brooks@live.com,+/Dallas,14-09-2022,%2022-09-14T00:55:04.278+05:30,71,+American +Express,Texas,M$$ale,$245k
2,@Kelsey ,Flores, kelsey.flores12@gmail.com,South Kingstown,31-12-2013,2013-12-31T07:18:47.196+05:30,56,MasterCard,Rhode Island,Female,$145k
3,///Heather,Young, heathereyoung@yahoo.com,Dallas,%,2020-02-10T13:05:41.050+05:30,34,MasterC$ard,Texas,Female,$245k
4,Victoria,Wilson, $$, Franklin,21-06-2010,2010-06-21T11:27:42.038+05:30,51,,&&&,Female,$245k
5,Isabella,###,,Naples,02-04-2016, 2016-04-02T12:25:21.761+05:30,29,American Express,Texas,Female,$75k
6,Charles,Wright,charles_l_wright@hotmail.com,Medford,25-03-2021,2021-03-25T19:52:40.244+05:30,47,  MasterCard,Oregon,Male,$65k
7,Sofia,Hall,s.f.hall@rocketmail.com, Kilsyth,19-02-2014,2014-02-19T03:29:09.661+05:30,76,VISA,West Virginia,Female,$45k
8,Tyler,Ramirez,t_ramirez@ymail.com,Ossian,12-12-2021,2021-12-12T08:39:45.770+05:30,65,VISA,Indiana,Male,$65k
9,Kayla,Lopez,k_lopez@rocketmail.com,Kansas City,31-10-2011,2011-10-31T07:38:17.352+05:30,71,American Express,Missouri,Female,$85k
10,Grace,Coleman,g.j.coleman@ymail.com,Wilkes Barre,23-04-2021,2021-04-23T19:05:19.005+05:30,63,VISA,Pennsylvania,Female,$55k
11,Tiffany,Perry,t_d_perry46@yahoo.com,Colorado Springs,07-09-2015,2015-09-07T09:04:30.603+05:30,44,Discover,Colorado,Female,$165k
12,Lillian,Scott,l_scott@live.com,Genoa,11-12-2012,2012-12-11T05:17:46.000+05:30,66,American Express,Arkansas,Female,$75k
13,Dylan,Diaz,d.j.diaz@rocketmail.com,Jamaica,05-04-2011,2011-04-05T10:37:43.932+05:30,66,MasterCard,New York,Male,$285k
14,Danielle,Hayes,daniellehayes@live.com,Kankakee,19-02-2014,2014-02-19T22:06:30.887+05:30,52,VISA,Illinois,Female,$85k
15,Christina,Morris,christina_a_morris@gmail.com,Oregon,27-01-2014,2014-01-27T08:43:28.932+05:30,45,Discover,Illinois,Female,$75k
16,Laura,James,lrjames61@yahoo.com,Reno,01-01-2017,2017-01-01T14:53:44.695+05:30,60,American Express,Nevada,Female,$35k
17,Isaac,Brooks,isaac.brooks@gmail.com,Lane City,28-05-2013,2013-05-28T00:23:36.182+05:30,73,VISA,Texas,Male,$75k
18,Benjamin,Ramirez,benjamin.ramirez@outlook.com,Saint Louis,10-12-2014,2014-12-10T13:20:14.677+05:30,44,Discover,Missouri,Male,$285k
19,Theodore,Diaz,theodore_e_diaz@outlook.com,San Diego,14-07-2018,2018-07-14T03:27:50.915+05:30,50,VISA,California,Male,$105k
20,Henry,Edwards,henryedwards@aol.com,Coalport,26-06-2012,2012-06-26T22:11:11.265+05:30,59,American Express,Pennsylvania,Male,$185k
21,Erin,Scott,erinscott28@ymail.com,Mobile,18-02-2015,2015-02-18T05:02:32.844+05:30,70,Discover,Alabama,Female,$55k
22,Gabriel,Wood,gabriel.j69@yahoo.com,Orland,11-04-2022,2022-04-11T07:58:58.759+05:30,41,American Express,Maine,Male,$65k
23,Ethan,Long,e.a.long@live.com,McCune,08-03-2010,2010-03-08T06:07:26.161+05:30,67,Discover,Kansas,Male,$105k
24,Megan,Robinson,merobinson@gmail.com,Marina Del Rey,08-12-2012,2012-12-08T08:15:31.143+05:30,36,Discover,California,Female,$75k
25,Austin,Griffin,a_griffin70@hotmail.com,Brockway,25-04-2016,2016-04-25T20:12:39.093+05:30,18,VISA,Montana,Male,$285k
26,Jose,Long,j_g_long90@outlook.com,North Java,17-10-2017,2017-10-17T15:01:52.543+05:30,63,VISA,New York,Male,$245k
27,Samantha,Cook,samantha_mary@hotmail.com,Washburn,07-11-2015,2015-11-07T07:59:28.366+05:30,35,VISA,Illinois,Female,$85k
28,Brandon,Rivera,b_rivera68@rocketmail.com,Columbus Junction,02-11-2010,2010-11-02T18:06:39.811+05:30,66,VISA,Iowa,Male,$245k
29,Matthew,Edwards,matthew.andrew.edwards@ymail.com,Coalport,31-03-2010,2010-03-31T04:50:48.080+05:30,69,MasterCard,Pennsylvania,Male,$185k
30,Chelsea,Campbell,c_campbell@aol.com,Iroquois,10-04-2016,2016-04-10T09:40:24.020+05:30,18,VISA,South Dakota,Female,$95k
31,Kimberly,Long,klong52@gmail.com,Knoxville,23-06-2016,2016-06-23T02:44:04.605+05:30,62,American Express,Tennessee,Female,$55k
32,Taylor,Cooper,taylor.cooper@ymail.com,Monroe City,08-03-2011,2011-03-08T23:10:44.412+05:30,68,Discover,Indiana,Female,$285k
33,Charles,Taylor,c_c_taylor@outlook.com,Scandinavia,28-10-2022,2022-10-28T13:47:50.361+05:30,21,VISA,Wisconsin,Male,$145k
34,Andrew,Hall,andrewhall35@rocketmail.com,San Mateo,28-02-2012,2012-02-28T00:11:18.096+05:30,23,MasterCard,Florida,Male,$125k
35,Nathan,Lewis,nathan@yahoo.com,Hackleburg,24-09-2010,2010-09-24T03:08:45.925+05:30,40,American Express,Alabama,Male,$185k
36,Ethan,Phillips,e_m_phillips@ymail.com,Rangeley,10-04-2022,2022-04-10T03:17:07.762+05:30,23,American Express,Maine,Male,$75k
37,Emily,Richardson,emily_j_richardson@aol.com,Garrison,28-12-2011,2011-12-28T05:56:01.006+05:30,66,American Express,North Dakota,Female,$125k
38,Melissa,Martin,melissa_l_martin@outlook.com,Saint Cloud,14-08-2018,2018-08-14T15:31:41.784+05:30,29,MasterCard,Florida,Female,$75k
39,Jennifer,Thomas,jenniferthomas@aol.com,Hagerstown,28-07-2020,2020-07-28T13:52:50.459+05:30,40,Discover,Indiana,Female,$245k
40,Lillian,Allen,lillian@yahoo.com,Gary,04-03-2016,2016-03-04T17:00:24.783+05:30,58,Discover,Indiana,Female,$245k
41,Andrew,Phillips,ajphillips@yahoo.com,Newburg,30-06-2014,2014-06-30T01:52:45.842+05:30,33,VISA,Pennsylvania,Male,$285k
42,Adam,Lopez,a_d@yahoo.com,Browns,27-04-2015,2015-04-27T04:15:15.700+05:30,48,VISA,Illinois,Male,$245k
43,Patrick,Hill,p_a_hill@yahoo.com,Atlanta,09-10-2020,2020-10-09T02:23:44.915+05:30,25,VISA,Texas,Male,$55k
44,Dylan,Davis,dylanmdavis@live.com,Winnebago,09-10-2011,2011-10-09T02:37:41.428+05:30,43,MasterCard,Nebraska,Male,$85k
45,Emma,Mitchell,e.mitchell@yahoo.com,Springfield,26-11-2014,2014-11-26T03:37:17.787+05:30,65,MasterCard,Massachusetts,Female,$165k
46,Jack,Foster,j.foster@aol.com,Newberry,15-11-2015,2015-11-15T21:20:06.283+05:30,56,VISA,Florida,Male,$95k
47,Michael,Phillips,michaelphillips@outlook.com,Allison Park,13-01-2011,2011-01-13T02:22:56.266+05:30,35,American Express,Pennsylvania,Male,$105k
48,Olivia,Jones,oajones@hotmail.com,Sheldon Springs,17-12-2010,2010-12-17T07:53:19.682+05:30,59,Discover,Vermont,Female,$145k
49,Christopher,Hughes,christopherg@gmail.com,Ballwin,06-04-2018,2018-04-06T21:14:39.854+05:30,42,American Express,Missouri,Male,$45k
50,Rachel,Young,ryoung@rocketmail.com,Childress,12-08-2022,2022-08-12T03:23:21.097+05:30,59,American Express,Texas,Female,$285k
51,Michelle,Barnes,michelle@rocketmail.com,Detroit,01-08-2014,2014-08-01T09:31:57.502+05:30,31,Discover,Michigan,Female,$55k
52,Abigail,James,a_james@yahoo.com,Martin,16-11-2021,2021-11-16T09:08:53.702+05:30,75,American Express,North Dakota,Female,$45k
53,Samantha,Bell,samanthaebell@outlook.com,Whitman,03-07-2021,2021-07-03T12:08:56.169+05:30,68,VISA,Massachusetts,Female,$75k
54,Dylan,Scott,d_r_scott@live.com,Hyndman,01-02-2011,2011-02-01T05:18:43.557+05:30,20,VISA,Pennsylvania,Male,$35k
55,Evelyn,Murphy,e.murphy@live.com,Memphis,10-10-2021,2021-10-10T12:11:34.661+05:30,46,VISA,Tennessee,Female,$105k
56,Mark,Russell,mark.a.russell51@aol.com,Moon,20-05-2019,2019-05-20T22:04:38.260+05:30,19,American Express,Virginia,Male,$85k
57,Alexis,Rogers,alexis_j_rogers@yahoo.com,Westlake,27-01-2014,2014-01-27T13:31:51.258+05:30,59,VISA,Ohio,Female,$145k
58,Kelsey,Collins,kelseym@yahoo.com,Salisbury Mills,13-08-2021,2021-08-13T12:49:40.311+05:30,62,American Express,New York,Female,$105k
59,Joseph,Howard,josephedwardhoward84@live.com,Harrisonburg,28-07-2013,2013-07-28T12:45:05.808+05:30,53,Discover,Virginia,Male,$65k
60,Andrew,Stewart,a.stewart@ymail.com,Page,26-08-2011,2011-08-26T20:48:08.064+05:30,75,VISA,West Virginia,Male,$95k
61,Sarah,Green,sarah_r_green@gmail.com,Washington,25-10-2017,2017-10-25T13:03:20.479+05:30,71,VISA,District of Columbia,Female,$165k
62,Nicholas,Jenkins,njenkins@outlook.com,Duncan,16-09-2022,2022-09-16T21:41:33.566+05:30,56,Discover,Mississippi,Male,$105k
63,Samantha,Simmons,samanthalsimmons37@aol.com,Adirondack,05-02-2017,2017-02-05T08:07:35.460+05:30,26,VISA,New York,Female,$55k
64,Tyler,Ward,t.ward52@hotmail.com,Pell Lake,14-08-2021,2021-08-14T03:08:20.864+05:30,77,Discover,Wisconsin,Male,$55k
65,Ryan,Scott,r.scott@outlook.com,Fife,09-11-2019,2019-11-09T19:28:12.475+05:30,33,VISA,Virginia,Male,$145k
66,Eric,Hayes,eric.r.hayes57@hotmail.com,Bloomingdale,05-08-2016,2016-08-05T23:20:48.580+05:30,74,Discover,New York,Male,$185k
67,Jennifer,Brooks,j.a.brooks@outlook.com,Kit Carson,10-11-2011,2011-11-10T03:02:55.433+05:30,76,American Express,Colorado,Female,$165k
68,Owen,Cox,o_a_cox68@rocketmail.com,Memphis,27-04-2021,2021-04-27T09:04:55.795+05:30,73,American Express,Tennessee,Male,$95k
69,Dylan,Green,dylan@gmail.com,Mundelein,29-05-2017,2017-05-29T20:29:30.290+05:30,47,American Express,Illinois,Male,$245k
70,Alexandra,Foster,alexandrafoster@gmail.com,Augusta,10-12-2011,2011-12-10T12:41:52.903+05:30,77,Discover,Montana,Female,$215k
71,Patrick,Wright,patrick@yahoo.com,Lake Benton,08-01-2016,2016-01-08T23:55:59.168+05:30,41,American Express,Minnesota,Male,$105k
72,Abigail,Flores,akflores@yahoo.com,Easley,11-06-2022,2022-06-11T19:25:25.813+05:30,68,VISA,South Carolina,Female,$55k
73,Eric,Campbell,ericc73@gmail.com,Conway,12-05-2022,2022-05-12T02:35:55.314+05:30,46,American Express,South Carolina,Male,$105k
74,Gabriel,Perez,gabriel.perez@yahoo.com,San Antonio,09-06-2022,2022-06-09T05:45:14.856+05:30,71,American Express,Texas,Male,$45k
75,Timothy,Cox,tecox@ymail.com,Woodrow,27-02-2020,2020-02-27T23:04:35.983+05:30,75,MasterCard,Colorado,Male,$245k
76,Laura,Lee,l_s_lee@aol.com,Beaver,10-05-2015,2015-05-10T17:14:01.973+05:30,54,Discover,Ohio,Female,$145k
